Legende;Spiel;Martin Schlag;Petr Schlag;Error/Winner;"Game (Martin;Petr)";"Punkt (Martin;Petr)";Bemerkung;Frame;Objekt;Objekt ID;Objektlabel;Konfidenz;Trackingstatus;x;y;z;vx;xy;vz
True;0;0;0;0;"99;99";"99;99";;0;0;0;Person;91.2109;OFF;-3.2367;0.0162761;4.43368;-nan(ind);-nan(ind);-nan(ind)
1;0;0;0;0;"99;99";"99;99";;0;1;1;Person;45.9961;OFF;2.4051;-2.69693;24.8148;-nan(ind);-nan(ind);-nan(ind)
False;0;0;0;0;"99;99";"99;99";;1;0;0;Person;91.2598;OFF;-3.23032;0.0163938;4.43147;0.801566;-0.00163345;-1.65796e-09
0;0;0;0;0;"99;99";"99;99";;1;1;1;Person;38.4033;OFF;2.39731;-2.69254;24.7127;3.53703;-0.00720912;-5.93347e-07
"Game (Martin; Peter)";0;0;0;0;"99;99";"99;99";;2;0;0;Person;90.7715;OFF;-3.21413;0.0165634;4.4291;0.739202;0.0240556;-0.215608
"99;99 kein Spiel";0;0;0;0;"99;99";"99;99";;2;1;1;Person;42.334;OFF;2.38937;-2.66943;24.3865;-0.410632;0.793726;-6.69503
"Punkt (Martin; Peter)";0;0;0;0;"99;99";"99;99";;3;0;0;Person;91.1621;OK;-3.19401;0.0168701;4.42485;0.689895;0.0256665;-0.228278
"99;99 kein Spiel";0;0;0;0;"99;99";"99;99";;3;1;1;Person;40.8203;OK;2.38982;-2.66393;24.4403;0.0186775;0.327759;-2.76681
Serve;0;0;0;0;"99;99";"99;99";;4;0;0;Person;90.2832;OK;-3.17355;0.0173468;4.41782;0.645374;0.0294236;-0.258674
S;0;0;0;0;"99;99";"99;99";;4;1;1;Person;38.3057;OK;2.42105;-2.6345;24.1061;0.581785;0.644039;-5.43659
Return Backhand;0;0;0;0;"99;99";"99;99";;5;0;0;Person;89.3555;OK;-3.1576;0.0178828;4.41116;0.565124;0.0266072;-0.233609
RB;0;0;0;0;"99;99";"99;99";;5;1;1;Person;40.5518;OK;2.38218;-2.57724;23.5732;-0.442346;0.938163;-7.90503
Return Forehand;0;0;0;0;"99;99";"99;99";;6;0;0;Person;88.916;OK;-3.1441;0.0184538;4.40514;0.514581;0.0242617;-0.212771
RF;0;0;0;0;"99;99";"99;99";;6;1;1;Person;42.0654;OK;2.33011;-2.54463;23.4031;-0.645664;0.849052;-7.14586
Return Backhand Slice;0;0;0;0;"99;99";"99;99";;7;0;0;Person;89.502;OK;-3.13103;0.0191297;4.39706;0.487239;0.0262322;-0.229929
RBS;0;0;0;0;"99;99";"99;99";;7;1;1;Person;46.875;OK;2.33523;-2.52227;23.2675;-0.204482;0.779712;-6.58073
Return Backhand Topspin;0;0;0;0;"99;99";"99;99";;8;0;0;Person;88.623;OK;-3.11463;0.0199145;4.3874;0.498065;0.0279355;-0.24413
RBT;0;0;0;0;"99;99";"99;99";;8;1;1;Person;50.9766;OK;2.31977;-2.50224;23.1012;-0.398754;0.751079;-6.32923
Return Forehand Slice;0;0;0;0;"99;99";"99;99";;9;0;0;Person;89.6484;OK;-3.09788;0.0208448;4.37558;0.496547;0.0305302;-0.266072
RFS;0;0;0;0;"99;99";"99;99";;9;1;1;Person;55.3711;OK;2.30486;-2.49806;23.1211;-0.400593;0.62278;-5.25005
Return Forehand Topspin;0;0;0;0;"99;99";"99;99";;10;0;0;Person;89.3555;OK;-3.0776;0.0219274;4.36201;0.516974;0.032932;-0.286135
RFT;0;0;0;0;"99;99";"99;99";;10;1;1;Person;39.0381;OK;2.2924;-2.4877;22.9918;-0.38684;0.609078;-5.13282
Forehand;0;0;0;0;"99;99";"99;99";;11;0;0;Person;87.5488;OK;-3.05332;0.02319;4.34546;0.54698;0.0364251;-0.316704
F;0;0;0;0;"99;99";"99;99";;11;1;1;Person;38.0371;OK;2.29181;-2.49321;23.1354;-0.292323;0.453945;-3.82776
Backhand;0;0;0;0;"99;99";"99;99";;12;0;0;Person;89.0625;OK;-3.03196;0.0245572;4.32816;0.546756;0.0387404;-0.33699
B;0;0;0;0;"99;99";"99;99";;12;1;1;Person;31.8359;OK;2.29359;-2.48766;22.993;-0.233808;0.480482;-4.05096
Forehand Topspin;0;0;0;0;"99;99";"99;99";;13;0;0;Person;89.0137;OK;-3.01202;0.025928;4.31291;0.546943;0.0391364;-0.340538
FT;0;0;0;0;"99;99";"99;99";;13;1;1;Person;29.1016;OK;2.29476;-2.4858;22.9694;-0.209624;0.43216;-3.64185
Forehand Slice;0;0;0;0;"99;99";"99;99";;14;0;0;Person;89.0137;OK;-2.99424;0.0273508;4.29825;0.540283;0.0400157;-0.347742
FS;0;0;0;0;"99;99";"99;99";;14;1;1;Person;30.5664;OK;2.29641;-2.48975;23.0791;-0.175484;0.335146;-2.82284
Backhand Topspin;0;0;0;0;"99;99";"99;99";;15;0;0;Person;89.3066;OK;-2.97644;0.0290325;4.28048;0.538419;0.0431242;-0.373835
BT;0;0;0;0;"99;99";"99;99";;15;1;1;Person;30.5664;OK;2.29668;-2.49006;23.0391;-0.175484;0.334949;-2.82286
Backhand Slice;0;0;0;0;"99;99";"99;99";;16;0;0;Person;88.7695;OK;-2.9598;0.030894;4.26004;0.531597;0.0465959;-0.402757
BS;0;0;0;0;"99;99";"99;99";;16;1;1;Person;30.5664;OK;2.29558;-2.48675;22.9551;-0.175484;0.335218;-2.82283
Forhand Volley;0;0;0;0;"99;99";"99;99";;17;0;0;Person;88.8184;OK;-2.945;0.0328217;4.23919;0.519622;0.0492449;-0.42415
FV;0;0;0;0;"99;99";"99;99";;17;1;1;Person;30.5664;OK;2.29324;-2.48044;22.861;-0.175484;0.335014;-2.82285
Backhand Volley;0;0;0;0;"99;99";"99;99";;18;0;0;Person;88.1836;OK;-2.93223;0.0348717;4.21915;0.503682;0.0510688;-0.439036
BV;0;0;0;0;"99;99";"99;99";;18;1;1;Person;24.6582;OK;2.30321;-2.48225;22.9475;-0.0574069;0.239786;-2.01993
Forhand Half Volley ;0;0;0;0;"99;99";"99;99";;19;0;0;Person;88.3789;OK;-2.92112;0.0371381;4.19748;0.485856;0.0539857;-0.46367
FHV;0;0;0;0;"99;99";"99;99";;19;1;1;Person;26.9043;OK;2.33206;-2.48769;23.0945;0.0369232;0.188299;-1.58923
Backhand Halfvolley;0;0;0;0;"99;99";"99;99";;20;0;0;Person;88.1348;OK;-2.91317;0.0395698;4.17653;0.458811;0.0558484;-0.479312
BHV;0;0;0;0;"99;99";"99;99";;20;1;1;Person;26.9043;OK;2.34767;-2.48965;23.115;0.0369228;0.188084;-1.58925
Forehand Smash;0;0;0;0;"99;99";"99;99";;21;0;0;Person;88.1348;OK;-2.90655;0.0422346;4.15523;0.434649;0.0580455;-0.496831
SF;0;0;0;0;"99;99";"99;99";;21;1;1;Person;21.2769;OK;2.37442;-2.50167;23.2867;0.0987685;0.132597;-1.12071
Backhand Smash;0;0;0;0;"99;99";"99;99";;22;0;0;Person;88.5254;OK;-2.90061;0.0451134;4.13316;0.412564;0.0602718;-0.516269
SB;0;0;0;0;"99;99";"99;99";;22;1;1;Person;21.2769;OK;2.38904;-2.507;23.3088;0.0987681;0.132455;-1.12073
Error;0;0;0;0;"99;99";"99;99";;23;0;0;Person;88.916;OK;-2.89336;0.0482022;4.11019;0.400692;0.0626064;-0.535909
E;0;0;0;0;"99;99";"99;99";;23;1;1;Person;21.2769;OK;2.39805;-2.50936;23.2982;0.0987682;0.132476;-1.12073
Winner;0;0;0;0;"99;99";"99;99";;24;0;0;Person;89.0137;OK;-2.88644;0.0514348;4.08786;0.384837;0.0641513;-0.549262
W;0;0;0;0;"99;99";"99;99";;24;1;1;Person;21.2769;OK;2.40428;-2.5102;23.2862;0.0987682;0.132514;-1.12072
Forehand Lob;0;0;0;0;"99;99";"99;99";;25;0;0;Person;89.1602;OK;-2.88036;0.05489;4.06446;0.36624;0.0664468;-0.567631
FL;0;0;0;0;"99;99";"99;99";;25;1;1;Person;21.2769;OK;2.40909;-2.51042;23.2696;0.0987687;0.132741;-1.1207
Backhand Lob;0;0;0;0;"99;99";"99;99";;26;0;0;Person;88.916;OK;-2.87237;0.0588547;4.03642;0.360824;0.0710117;-0.604428
BL;0;0;0;0;"99;99";"99;99";;26;1;1;Person;21.2769;OK;2.41311;-2.51016;23.2316;0.0987696;0.133107;-1.12065
Tweener;0;0;0;0;"99;99";"99;99";;27;0;0;Person;88.4277;OK;-2.86481;0.063298;4.0059;0.34788;0.0753422;-0.640947
TW;0;0;0;0;"99;99";"99;99";;27;1;1;Person;21.2769;OK;2.41667;-2.50919;23.1847;0.0987692;0.13304;-1.12066
;0;0;0;0;"99;99";"99;99";;28;0;0;Person;88.7695;OK;-2.85769;0.0680793;3.97618;0.335055;0.0783411;-0.665082
;0;0;0;0;"99;99";"99;99";;28;1;1;Person;20.813;OK;2.45232;-2.50356;23.0635;0.210604;0.148952;-1.25562
;1;0;F;0;"99;99";"99;99";Petr bringt Ball ins Spiel;29;0;0;Person;89.0137;OK;-2.85096;0.0730572;3.94601;0.322899;0.081519;-0.691968
;1;0;F;0;"99;99";"99;99";;29;1;1;Person;20.813;OK;2.47207;-2.49798;22.9963;0.210604;0.148839;-1.25564
;1;0;F;0;"99;99";"99;99";;30;0;0;Person;89.5996;OK;-2.84393;0.0782775;3.91317;0.313698;0.0855668;-0.726612
;1;0;F;0;"99;99";"99;99";;30;1;1;Person;20.813;OK;2.485;-2.49232;22.9461;0.210604;0.14868;-1.25565
;1;0;F;0;"99;99";"99;99";;31;0;0;Person;89.6484;OK;-2.83699;0.0832915;3.88403;0.304777;0.0867178;-0.736181
;1;0;F;0;"99;99";"99;99";;31;1;1;Person;20.813;OK;2.49475;-2.48663;22.9012;0.210603;0.148612;-1.25566
;1;0;F;0;"99;99";"99;99";;32;0;0;Person;89.7949;OK;-2.83049;0.0877934;3.85803;0.29509;0.0865746;-0.736877
;1;0;F;0;"99;99";"99;99";;32;1;1;Person;20.813;OK;2.50293;-2.481;22.8583;0.210602;0.148221;-1.25571
;1;0;F;0;"99;99";"99;99";;33;0;0;Person;90.1367;OK;-2.82443;0.0917273;3.83459;0.285142;0.0857202;-0.729583
;1;0;F;0;"99;99";"99;99";;33;1;1;Person;20.813;OK;2.51038;-2.4754;22.8158;0.210602;0.148202;-1.25571
;1;0;F;0;"99;99";"99;99";;34;0;0;Person;90.625;OK;-2.81673;0.0949979;3.81481;0.287075;0.0831622;-0.708743
;1;0;F;0;"99;99";"99;99";;34;1;1;Person;20.813;OK;2.51746;-2.46982;22.7733;0.210602;0.148037;-1.25573
;1;0;F;0;"99;99";"99;99";;35;0;0;Person;90.4297;OK;-2.80864;0.0977382;3.79655;0.285684;0.0810166;-0.69008
;1;0;F;0;"99;99";"99;99";;35;1;1;Person;23.584;OK;2.52811;-2.46905;22.8072;0.217088;0.131408;-1.11445
;1;0;F;0;"99;99";"99;99";;36;0;0;Person;90.3809;OK;-2.80045;0.0998988;3.78159;0.283684;0.0772332;-0.658108
;1;0;F;0;"99;99";"99;99";;36;1;1;Person;27.832;OK;2.54484;-2.46647;22.7689;0.242982;0.13792;-1.16998
;1;0;F;0;"99;99";"99;99";;37;0;0;Person;90.1367;OK;-2.79292;0.101647;3.7692;0.278514;0.0731177;-0.623462
;1;0;F;0;"99;99";"99;99";;37;1;1;Person;28.3691;OK;2.57917;-2.46835;22.8255;0.288126;0.107202;-0.911781
;1;0;F;0;"99;99";"99;99";;38;0;0;Person;90.918;OK;-2.78378;0.103318;3.75732;0.283887;0.0697185;-0.594355
;1;0;F;0;"99;99";"99;99";;38;1;1;Person;33.0322;OK;2.62256;-2.47341;22.9495;0.338204;0.0900431;-0.767085
;1;0;F;0;"99;99";"99;99";;39;0;0;Person;90.7715;OK;-2.77317;0.105031;3.74474;0.29082;0.0672888;-0.57347
;1;0;F;0;"99;99";"99;99";;39;1;1;Person;34.6924;OK;2.64873;-2.48248;23.0828;0.335097;0.0721177;-0.615095
;1;0;F;0;"99;99";"99;99";;40;0;0;Person;90.625;OK;-2.76237;0.106974;3.73048;0.293668;0.066161;-0.563157
;1;0;F;0;"99;99";"99;99";;40;1;1;Person;33.4473;OK;2.65116;-2.48924;23.1277;0.284789;0.0677324;-0.576217
;1;0;F;0;"99;99";"99;99";;41;0;0;Person;91.0645;OK;-2.75231;0.10897;3.71665;0.292251;0.0642841;-0.547096
;1;0;F;0;"99;99";"99;99";;41;1;1;Person;33.7158;OK;2.65795;-2.49137;23.1066;0.292762;0.0737022;-0.626426
;1;0;F;0;"99;99";"99;99";;42;0;0;Person;91.2598;OK;-2.74318;0.111146;3.70222;0.288467;0.0631247;-0.537727
;1;0;F;0;"99;99";"99;99";;42;1;1;Person;37.3779;OK;2.65802;-2.49293;23.0969;0.255762;0.0707015;-0.600951
;1;0;F;0;"99;99";"99;99";;43;0;0;Person;91.1621;OK;-2.73521;0.113768;3.68622;0.281071;0.0629623;-0.53644
;1;0;F;0;"99;99";"99;99";;43;1;1;Person;35.498;OK;2.66039;-2.49281;23.0829;0.25623;0.0784838;-0.666906
;1;0;F;0;"99;99";"99;99";;44;0;0;Person;91.4551;OK;-2.72883;0.116647;3.67225;0.26999;0.0610969;-0.520529
;1;0;F;0;"99;99";"99;99";;44;1;1;Person;37.3779;OK;2.66379;-2.49364;23.0822;0.236261;0.0650213;-0.553011
;1;0;F;0;"99;99";"99;99";;45;0;0;Person;91.748;OK;-2.72276;0.119959;3.65682;0.262617;0.0612179;-0.519709
;1;0;F;0;"99;99";"99;99";;45;1;1;Person;31.0791;OK;2.66476;-2.49396;23.0771;0.211572;0.064759;-0.548619
;1;0;F;0;"99;99";"99;99";;46;0;0;Person;92.041;OK;-2.71665;0.123825;3.6421;0.257167;0.0601658;-0.511166
;1;0;F;0;"99;99";"99;99";;46;1;1;Person;31.0791;OK;2.6631;-2.49395;23.0724;0.174531;0.0641925;-0.543636
;1;0;F;0;"99;99";"99;99";;47;0;0;Person;92.2852;OK;-2.71109;0.128088;3.62783;0.248944;0.059248;-0.503212
;1;0;F;0;"99;99";"99;99";;47;1;1;Person;33.7158;OK;2.67109;-2.4945;23.0817;0.215017;0.0543427;-0.46132
;1;0;F;0;"99;99";"99;99";;48;0;0;Person;92.8711;OK;-2.70685;0.132243;3.61859;0.236264;0.0550659;-0.467933
;1;0;F;0;"99;99";"99;99";;48;1;1;Person;28.9307;OK;2.67864;-2.49541;23.0992;0.208632;0.0479443;-0.407464
;1;0;0;0;"99;99";"99;99";Martin teilweise im Feld;49;0;0;Person;93.3105;OK;-2.70505;0.136036;3.61573;0.213477;0.0481118;-0.408731
