frame,object,object_id,object_label,confidence,tracking_state,x,y,z,vx,xy,vz,width,height,length
3,0,0,Person,89.59961,OK,-2.46712,0.65678,6.06759,-2.24616,-0.08220,3.24955,0.85175,1.31414,0.85175
3,1,1,Person,58.69141,OK,12.46004,-0.32732,29.59760,-3.77620,0.20816,-10.44296,0.79609,1.36517,0.79609
4,0,0,Person,89.20898,OK,-2.51628,0.65639,6.11011,-1.79936,-0.06512,2.56536,0.86020,1.31629,0.86020
4,1,1,Person,57.95898,OK,12.44472,-0.32375,29.49059,-2.49269,0.16367,-8.05950,0.78589,1.36619,0.78589
5,0,0,Person,88.91602,OK,-2.54964,0.65612,6.13689,-1.55971,-0.05363,2.10991,0.86817,1.31845,0.86817
5,1,1,Person,55.90820,OK,12.48208,-0.32163,29.62715,-1.44754,0.09919,-4.91755,0.77365,1.37026,0.77365
6,0,0,Person,89.30664,OK,-2.52706,0.65599,6.13130,-0.87346,-0.03832,1.56532,0.87405,1.32028,0.87405
6,1,1,Person,50.00000,OK,12.49878,-0.31964,29.64595,-1.10440,0.07878,-3.91267,0.75425,1.37394,0.75425
7,0,0,Person,89.16016,OK,-2.53046,0.65584,6.14935,-0.86927,-0.03587,1.44547,0.88019,1.32220,0.88019
7,1,1,Person,37.01172,OK,12.51301,-0.31855,29.74000,-0.81841,0.05096,-2.55268,0.73128,1.37605,0.73128
8,0,0,Person,88.91602,OK,-2.52911,0.65557,6.18544,-0.70505,-0.03492,1.42638,0.88678,1.32433,0.88678
8,1,1,Person,47.16797,OK,12.51327,-0.31701,29.69786,-0.75403,0.05247,-2.57166,0.71594,1.38032,0.71594
9,0,0,Person,89.50195,OK,-2.53235,0.65521,6.20951,-0.64141,-0.03184,1.30135,0.89243,1.32651,0.89243
9,1,1,Person,53.51562,OK,12.50511,-0.31559,29.63757,-0.71614,0.05034,-2.48036,0.70722,1.38156,0.70722
10,0,0,Person,89.30664,OK,-2.54230,0.65452,6.27531,-0.62441,-0.03514,1.44958,0.90035,1.32851,0.90035
10,1,1,Person,58.88672,OK,12.51255,-0.31491,29.69183,-0.33015,0.03664,-1.75785,0.70253,1.38305,0.70253
11,0,0,Person,89.30664,OK,-2.55686,0.65363,6.30969,-0.61665,-0.03297,1.35223,0.90904,1.33033,0.90904
11,1,1,Person,61.52344,OK,12.55427,-0.31441,29.72714,-0.12469,0.02225,-1.04491,0.70454,1.39043,0.70455
12,0,0,Person,89.01367,OK,-2.56203,0.65248,6.33307,-0.53673,-0.03071,1.26074,0.91656,1.33184,0.91656
12,1,1,Person,57.27539,OK,12.58990,-0.31387,29.76817,-0.05158,0.01933,-0.88617,0.70575,1.39446,0.70575
13,0,0,Person,88.13477,OK,-2.56553,0.65095,6.35561,-0.48684,-0.02909,1.19542,0.92158,1.33235,0.92158
13,1,1,Person,61.52344,OK,12.59568,-0.31315,29.83265,-0.13188,0.01422,-0.66991,0.70903,1.40071,0.70903
