Frame;Status;Schlag _p1;Schlag _p2;Satz;Fehler_p1;Fehler_p2
287;Aktiv;Anschlag;;1;;
318;;;Fronthand;;;
372;;Fronthand;;;;
421;;;Backhand;;;
469;;Backhand;;;;
530;;;Fronthand;;;
581;;Backhand;;;;
626;;;Backhand;;;
675;;Fronthand;;;;
720;;;Fronthand;;;
766;;Fronthand;;;;
816;;;Fronthand;;;
859;;Fronthand;;;Netz;
902;Inaktiv;;;;;
1819;Aktiv;Anschlag;;;;
1857;;;Backhand;;;
1899;;Backhand;;;;
1960;;;Backhand;;;
2005;;Backhand;;;;
2058;;;Fronthand;;;
2105;;Fronthand;;;Out;
2141;Inaktiv;;;;;
2547;Aktiv;Anschlag;;;Netz;
2560;Inaktiv;;;;;
2746;Aktiv;Anschlag;;;;
2777;;;Backhand;;Out;
2834;Inaktiv;;;;;
3559;Aktiv;Anschlag;;;;
3590;;;Fronthand;;;
3634;;Backhand;;;;
3679;;;Backhand;;;
3728;;Backhand;;;;
3779;;;Backhand;;;
3825;;Backhand;;;;
3876;;;Backhand;;;Out
3915;Inaktiv;;;;;
4391;Aktiv;Anschlag;;;;
4419;;;Backhand;;;
4459;;Backhand;;;;
4558;;;Fronthand;;Doppel;
4605;Inaktiv;;;;;
5344;Aktiv;Anschlag;;;Aufschlagfehler;
5371;Inaktiv;;;;;
5583;Aktiv;Anschlag;;;;
5616;;;Backhand;;;Netz
5638;Inaktiv;;;;;
6447;Aktiv;;Anschlag;2;;
6478;;Fronthand;;;;
6536;;;Fronthand;;;
6577;;Fronthand;;;;
6622;;;Backhand;;;
6664;;Backhand;;;;
6711;;;Backhand;;;
6758;;Backhand;;;;
6805;;;Fronthand;;;
6856;;Fronthand;;;;
6918;;;Fronthand;;;
6959;;Backhand;;;Netz;
6987;Inaktiv;;;;;
7552;Aktiv;;Anschlag;;;
7576;;Fronthand;;;Out;
7620;Inaktiv;;;;;
8032;Aktiv;;Anschlag;;;
8061;;Fronthand;;;;
8111;;;Fronthand;;Doppel;
8142;Inaktiv;;;;;
8501;Aktiv;;Anschlag;;;
8526;;Backhand;;;;
8578;;;Fronthand;;;
8616;;Fronthand;;;Out;
8659;Inaktiv;;;;;
9693;Aktiv;Anschlag;;3;Aufschlagfehler;
9713;Inaktiv;;;;;
10223;Aktiv;Anschlag;;;;
10253;;;Fronthand;;;
10288;;Fronthand;;;;
10334;;;Backhand;;;
10371;;Backhand;;;;
10407;;;Fronthand;;;
10463;;Fronthand;;;;
10511;;;Backhand;;;
10571;;Fronthand;;;Netz;
10590;Inaktiv;;;;;
11704;Aktiv;Anschlag;;;;
11730;;;Fronthand;;;
11779;;Fronthand;;;;
11818;;;Backhand;;;
11886;;Fronthand;;;;
11924;;;Backhand;;;
11981;;Fronthand;;;;
12023;;;Backhand;;;
12067;;Backhand;;;Netz;
12105;Inaktiv;;;;;
13025;Aktiv;Anschlag;;;Aufschlagfehler;
13054;Inaktiv;;;;;
13241;Aktiv;Anschlag;;;;
13276;;;Fronthand;;;Netz
13303;Inaktiv;;;;;
14056;Aktiv;Anschlag;;;Aufschlagfehler;
14065;Inaktiv;;;;;
14486;Aktiv;Anschlag;;;;
14515;;;Fronthand;;;
14555;;Fronthand;;;;
14604;;;Backhand;;;
14657;;Backhand;;;;
14699;;;Fronthand;;Doppel;
14743;Inaktiv;;;;;
15607;Aktiv;Anschlag;;;Aufschlagfehler;
15635;Inaktiv;;;;;
15830;Aktiv;Anschlag;;;;
15861;;;Backhand;;;
15912;;Fronthand;;;;Doppel
15968;Inaktiv;;;;;
16555;Aktiv;Anschlag;;;;
16582;;;Fronthand;;Aufschlagfehler;
16624;Inaktiv;;;;;
16798;Aktiv;Anschlag;;;;
16829;;;Fronthand;;;
16864;;Backhand;;;;
16931;;;Fronthand;;;
16971;;Backhand;;;;Netz
16993;Inaktiv;;;;;
18415;Aktiv;Anschlag;;;;
18440;;;Fronthand;;;
18480;;Fronthand;;;;
18525;;;Backhand;;;
18565;;Backhand;;;;
18637;;;Fronthand;;;
18671;;Backhand;;;;
18728;;;Fronthand;;Doppel;
18765;Inaktiv;;;;;
19376;Aktiv;Anschlag;;;;
19402;;;Fronthand;;;Netz
19423;Inaktiv;;;;;
19901;Aktiv;Anschlag;;;;
19923;;;Backhand;;;
19961;;Fronthand;;;Out;
19988;Inaktiv;;;;;
20495;Aktiv;Anschlag;;;;
20523;;;Backhand;;;
20567;;Fronthand;;;;
20607;;;Fronthand;;;
20648;;Fronthand;;;;
20689;;;Fronthand;;;
20728;;Fronthand;;;;
20769;;;Fronthand;;Out;
20807;Inaktiv;;;;;
21493;Aktiv;Anschlag;;;;
21518;;;Backhand;;;Out
21565;Inaktiv;;;;;
22349;Aktiv;Anschlag;;;;
22374;;;Backhand;;;
22416;;Fronthand;;;Auschlagfehler;
22445;Inaktiv;;;;;
23205;Aktiv;Anschlag;;;;
23231;;;Backhand;;;
23268;;Backhand;;;;
23318;;;Fronthand;;;Doppel
23342;Inaktiv;;;;;
24515;Aktiv;Anschlag;;;;
24545;;;Backhand;;;
24581;;Fronthand;;;;
24625;;;Fronthand;;;Netz
24676;Inaktiv;;;;;
25269;Aktiv;Anschlag;;;;
25295;;;Backhand;;;
25325;;Backhand;;;;
25372;;;Fronthand;;;Out
25420;Inaktiv;;;;;
