frame,object,object_id,object_label,confidence,tracking_state,x,y,z,vx,xy,vz,width,height,length
3,0,0,Person,89.59961,OK,-0.44490,0.13865,0.96791,0.39335,0.05318,-2.35000,0.50016,0.26859,0.50016
3,1,1,Person,58.49609,OK,12.39605,-0.32682,29.54440,-6.74081,0.28640,-14.72921,0.80291,1.38626,0.80291
4,0,0,Person,89.16016,OK,-0.43943,0.13875,0.95185,0.31988,0.04047,-1.77781,0.50017,0.26693,0.50017
4,1,1,Person,57.66602,OK,12.37789,-0.32138,29.40247,-4.70386,0.22651,-11.44178,0.79057,1.38639,0.79057
5,0,0,Person,88.91602,OK,-0.43528,0.13878,0.94404,0.26942,0.03196,-1.41220,0.50017,0.26528,0.50017
5,1,1,Person,55.90820,OK,12.43493,-0.31823,29.54399,-3.03609,0.14706,-7.49911,0.77705,1.38981,0.77705
6,0,0,Person,89.30664,OK,-0.43216,0.13873,0.94021,0.23099,0.02617,-1.15668,0.50017,0.26365,0.50017
6,1,1,Person,49.90234,OK,12.43690,-0.31503,29.46973,-2.48779,0.12858,-6.55016,0.75617,1.39268,0.75617
7,0,0,Person,89.16016,OK,-0.42977,0.13858,0.93829,0.20225,0.02208,-0.97078,0.50017,0.26206,0.50017
7,1,1,Person,37.37793,OK,12.44127,-0.31242,29.42290,-2.01309,0.11091,-5.61178,0.73130,1.39366,0.73130
8,0,0,Person,89.01367,OK,-0.42793,0.13832,0.93758,0.17925,0.01909,-0.82841,0.50018,0.26051,0.50018
8,1,1,Person,46.97266,OK,12.43785,-0.31009,29.39929,-1.72545,0.09680,-4.82274,0.71466,1.39694,0.71466
9,0,0,Person,89.50195,OK,-0.42612,0.13796,0.93590,0.16620,0.01683,-0.73032,0.50018,0.25898,0.50018
9,1,1,Person,53.71094,OK,12.44164,-0.30856,29.41256,-1.44560,0.08062,-4.04492,0.70518,1.39745,0.70518
10,0,0,Person,89.35547,OK,-0.42437,0.13750,0.93412,0.15512,0.01507,-0.64980,0.50018,0.25739,0.50018
10,1,1,Person,58.98438,OK,12.47400,-0.30801,29.52052,-0.94109,0.05955,-2.95890,0.70003,1.39824,0.70003
11,0,0,Person,89.20898,OK,-0.43344,0.13642,0.99951,0.01770,0.00299,-0.13185,0.50012,0.25666,0.50012
11,1,1,Person,61.52344,OK,12.48979,-0.30768,29.60114,-0.64186,0.04160,-2.05369,0.70177,1.40492,0.70177
12,0,0,Person,89.01367,OK,-0.44620,0.13509,1.07997,0.01561,0.00222,-0.09659,0.50010,0.25634,0.50010
12,1,1,Person,57.27539,OK,12.54329,-0.30738,29.61671,-0.41809,0.03482,-1.67397,0.70280,1.40840,0.70280
13,0,0,Person,88.13477,OK,-0.45838,0.13367,1.14440,0.03826,0.00546,-0.23670,0.50008,0.25615,0.50008
13,1,1,Person,61.66992,OK,12.57757,-0.30695,29.68714,-0.35546,0.02811,-1.34644,0.70635,1.41405,0.70634
14,0,0,Person,89.06250,OK,-0.46687,0.13243,1.16080,0.03116,0.00442,-0.19281,0.50009,0.25572,0.50009
14,1,1,Person,64.50195,OK,12.60148,-0.30645,29.74858,-0.29963,0.02393,-1.14944,0.70832,1.41829,0.70832
15,0,0,Person,88.62305,OK,-0.47347,0.13127,1.16397,0.02618,0.00371,-0.16198,0.50009,0.25475,0.50009
15,1,1,Person,67.91992,OK,12.63956,-0.30605,29.87411,-0.16867,0.01548,-0.74014,0.71143,1.42328,0.71143
16,0,0,Person,87.59766,OK,-0.47863,0.13015,1.16214,0.02150,0.00303,-0.13300,0.50010,0.25361,0.50010
16,1,1,Person,61.76758,OK,12.65571,-0.30527,29.91445,-0.16267,0.01410,-0.67928,0.71469,1.42876,0.71470
17,0,0,Person,87.25586,OK,-0.48267,0.12904,1.15810,0.01708,0.00240,-0.10568,0.50011,0.25229,0.50011
17,1,1,Person,47.85156,OK,12.67314,-0.30437,29.92036,-0.10272,0.01404,-0.66414,0.71225,1.43261,0.71225
18,0,0,Person,88.13477,OK,-0.48571,0.12789,1.15322,0.01320,0.00186,-0.08169,0.50012,0.25074,0.50012
18,1,1,Person,45.89844,OK,12.70892,-0.30338,29.97014,0.01077,0.00976,-0.44271,0.71249,1.43956,0.71249
19,0,0,Person,87.79297,OK,-0.48922,0.12662,1.15050,0.01394,0.00196,-0.08627,0.50012,0.24915,0.50012
19,1,1,Person,50.00000,OK,12.73037,-0.30234,29.98724,0.03484,0.00915,-0.41062,0.71340,1.44400,0.71340
20,0,0,Person,84.08203,OK,-0.49308,0.12523,1.14901,0.01464,0.00205,-0.09056,0.50012,0.24759,0.50012
20,1,1,Person,55.07812,OK,12.74884,-0.30136,30.00170,0.06671,0.00807,-0.35404,0.71443,1.44726,0.71443
21,0,0,Person,82.37305,OK,-0.49718,0.12370,1.14824,0.01525,0.00214,-0.09436,0.50013,0.24609,0.50013
21,1,1,Person,56.29883,OK,12.76556,-0.30039,30.04518,0.08490,0.00498,-0.20858,0.71877,1.45220,0.71877
22,0,0,Person,80.56641,OK,-0.50143,0.12201,1.14794,0.01582,0.00221,-0.09786,0.50013,0.24459,0.50013
22,1,1,Person,52.63672,OK,12.79356,-0.29960,30.12630,0.13996,0.00105,-0.01551,0.72092,1.45653,0.72092
23,0,0,Person,76.41602,OK,-0.50529,0.12012,1.14811,0.01601,0.00222,-0.09905,0.50012,0.24338,0.50012
23,1,1,Person,54.39453,OK,12.81908,-0.29897,30.18472,-0.04601,0.00371,-0.18346,0.72491,1.45811,0.72491
24,0,0,Person,84.08203,OK,-0.50895,0.11806,1.14865,0.01621,0.00226,-0.10031,0.50011,0.24196,0.50011
24,1,1,Person,52.73438,OK,12.82687,-0.29829,30.21792,-0.04598,0.00374,-0.18336,0.72544,1.46084,0.72544
25,0,0,Person,83.39844,OK,-0.51245,0.11584,1.14945,0.01639,0.00229,-0.10139,0.50010,0.24053,0.50010
25,1,1,Person,47.94922,OK,12.83140,-0.29774,30.19880,-0.03745,0.00306,-0.14934,0.72600,1.45870,0.72600
26,0,0,Person,76.41602,OK,-0.51586,0.11348,1.15047,0.01659,0.00233,-0.10265,0.50009,0.23887,0.50009
26,1,1,Person,49.60938,OK,12.82615,-0.29722,30.18674,-0.02372,0.00194,-0.09457,0.72419,1.45794,0.72419
27,0,0,Person,74.21875,OK,-0.51926,0.11097,1.15166,0.01680,0.00237,-0.10395,0.50008,0.23716,0.50008
27,1,1,Person,48.43750,OK,12.82027,-0.29660,30.16925,-0.01964,0.00162,-0.07833,0.72095,1.45707,0.72096
28,0,0,Person,75.58594,OK,-0.52265,0.10830,1.15297,0.01701,0.00239,-0.10523,0.50007,0.23535,0.50007
28,1,1,Person,47.07031,OK,12.81695,-0.29572,30.14796,-0.03697,0.00304,-0.14743,0.71195,1.45674,0.71195
29,0,0,Person,80.02930,OK,-0.52600,0.10542,1.15429,0.01711,0.00241,-0.10588,0.50006,0.23373,0.50006
29,1,1,Person,38.11035,OK,12.81468,-0.29484,30.13638,-0.04015,0.00329,-0.16010,0.70615,1.45579,0.70615
30,0,0,Person,79.68750,OK,-0.52926,0.10232,1.15550,0.01711,0.00240,-0.10587,0.50005,0.23198,0.50005
30,1,1,Person,41.21094,OK,12.81460,-0.29376,30.13111,-0.03710,0.00304,-0.14796,0.70206,1.45784,0.70206
31,1,1,Person,41.96777,OK,12.81275,-0.29288,30.10065,-0.04450,0.00365,-0.17746,0.69851,1.45800,0.69851
32,1,1,Person,34.08203,OK,12.81121,-0.29233,30.08611,-0.03944,0.00321,-0.15728,0.69135,1.45595,0.69135
33,0,0,Person,64.06250,OK,-0.53841,0.09246,1.15815,0.01682,0.00233,-0.10403,0.49999,0.22730,0.49999
33,1,1,Person,51.46484,OK,12.81040,-0.29177,30.07567,-0.04260,0.00347,-0.16987,0.69180,1.45913,0.69180
34,1,1,Person,42.82227,OK,12.81024,-0.29155,30.08619,-0.01589,0.00129,-0.06337,0.69690,1.45986,0.69689
35,1,1,Person,60.69336,OK,12.81676,-0.29118,30.10089,-0.02157,0.00176,-0.08600,0.71232,1.46745,0.71233
