frame,body,body_id,confidence,tracking_state,action_state,x,y,z,vx,xy,vz,width,height,length,mask,nose,neck,right_shoulder,right_elbow,right_wrist,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,left_hip,left_knee,left_ankle,right_eye,left_eye,right_ear,left_ear
15,0,0,61.79259,OK,MOVING,0.52953,0.28402,1.10684,-0.89004,-0.06763,0.06391,0.64119,0.65809,0.64119,n/a sl::Mat not initialised,[0.37561002 0.07504168 1.131678  ],[0.46828768 0.19936237 1.0548697 ],[0.6341347  0.17373338 1.0663145 ],[0.70423126 0.38809365 1.0986004 ],[0.7565726  0.57596517 1.1983746 ],[0.3024406  0.22499129 1.0434248 ],[0.27566606 0.44551733 1.0939977 ],[0.24340574 0.5097813  1.3009267 ],[0.6267791  0.67034864 1.2028542 ],[0.64456975 1.1015568  1.3303031 ],[0.6603311 1.4846563 1.4442608],[0.43954167 0.69706714 1.1959759 ],[0.45733234 1.1282749  1.3234247 ],[0.4730937 1.5113746 1.4373825],[0.408494   0.02754644 1.1166055 ],[0.34934914 0.0343602  1.0967536 ],[0.4939954 0.0199278 1.0411248],[0.32641816 0.03923351 0.9848772 ]
16,0,0,70.78027,OK,MOVING,0.49198,0.28477,1.10733,-0.92155,-0.01282,-0.12961,0.62519,0.65550,0.62519,n/a sl::Mat not initialised,[0.35611835 0.06780496 1.1263334 ],[0.4436321  0.18070829 1.0402646 ],[0.609422   0.15531102 1.0524534 ],[0.673816   0.37286484 1.0701902 ],[0.7090385 0.5548778 1.186441 ],[0.2778421  0.20610562 1.0280758 ],[0.23667705 0.42635173 1.067925  ],[0.19639271 0.4615757  1.280104  ],[0.59938943 0.6477196  1.1977046 ],[0.63019437 0.9104626  1.3133255 ],[0.66019976 1.1538435  1.3889763 ],[0.41274834 0.67588854 1.1891961 ],[0.42426893 0.951808   1.2733792 ],[0.43447676 1.1969615  1.3485672 ],[0.38931292 0.020228   1.113619  ],[0.329553   0.02489462 1.095027  ],[0.47253564 0.0102556  1.0378088 ],[0.30321586 0.02347779 0.9851316 ]
17,0,0,71.46605,OK,MOVING,0.46173,0.28091,1.10911,-0.85202,-0.02846,-0.06289,0.61695,0.65445,0.61695,n/a sl::Mat not initialised,[0.3462984  0.06169528 1.1433915 ],[0.42908227 0.17052913 1.0546241 ],[0.59555346 0.15143824 1.0745125 ],[0.6666746  0.36632803 1.0994798 ],[0.7010414 0.5426641 1.2246648],[0.262611   0.18961999 1.0347357 ],[0.21660525 0.40941593 1.0725832 ],[0.17718694 0.420232   1.2877014 ],[0.55685914 0.63694024 1.2269945 ],[0.51900464 0.85779583 1.3353935 ],[0.49175546 1.0714645  1.3859862 ],[0.37068462 0.6537523  1.2130828 ],[0.17193261 0.797244   1.1698589 ],[0.0696178  0.8244537  0.97557104],[0.3804874  0.01453578 1.13333   ],[0.3209841  0.01737118 1.1135805 ],[0.46469343 0.00520086 1.0610999 ],[0.29610085 0.01323432 1.0051429 ]
18,0,0,75.13895,OK,MOVING,0.44069,0.27508,1.13456,-0.77843,-0.05521,0.04197,0.60442,0.65079,0.60442,n/a sl::Mat not initialised,[0.3325047  0.03453326 1.1611286 ],[0.41656908 0.15568697 1.0738206 ],[0.58382124 0.13840342 1.0980802 ],[0.66191566 0.35156527 1.1275904 ],[0.6954922  0.51864004 1.2669188 ],[0.24931708 0.1729705  1.049561  ],[0.19800217 0.39301935 1.0863422 ],[0.1688328  0.36036193 1.3020651 ],[0.53370255 0.6201782  1.2475494 ],[0.35259902 0.7611656  1.2854104 ],[0.4318309 0.8010639 1.0986391],[0.349502  0.6330025 1.2259045],[0.12502722 0.6927385  1.213573  ],[0.32603294 0.6497448  1.191182  ],[ 0.36905643 -0.00954822  1.1508583 ],[ 0.3097402  -0.00928065  1.1303585 ],[ 0.45326024 -0.00970995  1.0833367 ],[ 0.2851976  -0.00895175  1.0252535 ]
19,0,0,75.31459,OK,MOVING,0.42941,0.26771,1.17362,-0.71823,-0.08145,0.14297,0.59816,0.64722,0.59816,n/a sl::Mat not initialised,[0.32197064 0.0229128  1.1821591 ],[0.4027927 0.1463865 1.0977206],[0.57092535 0.1334601  1.1242799 ],[0.6583853 0.3447521 1.1526427],[0.69146603 0.49803153 1.3091774 ],[0.23466004 0.15931287 1.0711612 ],[0.17712522 0.37986624 1.104983  ],[0.16732365 0.2857448  1.3053253 ],[0.5079644 0.6175574 1.2557172],[0.30399987 0.7080679  1.2503757 ],[0.48707056 0.63704467 1.221976  ],[0.32443318 0.6251934  1.232342  ],[0.21761842 0.747326   1.3856275 ],[0.3103316  0.62399864 1.2608863 ],[ 0.35819975 -0.02131882  1.1739511 ],[ 0.29919696 -0.02124211  1.1526964 ],[ 0.4426176  -0.02285421  1.1092284 ],[ 0.27544284 -0.02263704  1.0490067 ]
20,0,0,76.05595,OK,MOVING,0.42130,0.26783,1.21410,-0.65891,-0.10698,0.24110,0.59360,0.66348,0.59360,n/a sl::Mat not initialised,[0.32084185 0.00685903 1.2299683 ],[0.40076226 0.13894257 1.1490158 ],[0.5756032  0.13295734 1.1723914 ],[0.6649843  0.34710243 1.1901942 ],[0.69370735 0.4947008  1.3559275 ],[0.22592133 0.14492792 1.1256402 ],[0.16430779 0.36913425 1.1356077 ],[0.17873442 0.23377943 1.3132273 ],[0.4926552  0.61966157 1.2831669 ],[0.35476872 0.7736707  1.2920659 ],[0.47837198 0.63925946 1.2701216 ],[0.30849594 0.62078387 1.2641205 ],[0.26662534 0.74392974 1.4250325 ],[0.30535406 0.6603451  1.2658489 ],[ 0.35729367 -0.03685656  1.2214259 ],[ 0.29876858 -0.03626713  1.1988932 ],[ 0.44306785 -0.0369848   1.1586496 ],[ 0.2772468  -0.03531471  1.0948067 ]
21,0,0,77.52972,OK,MOVING,0.39753,0.25767,1.21300,-0.62416,-0.12911,0.32365,0.57175,0.65679,0.57175,n/a sl::Mat not initialised,[ 0.30417943 -0.00449017  1.2370269 ],[0.38147515 0.13591161 1.1593066 ],[0.5588358  0.13025358 1.1802657 ],[0.6498526 0.3455032 1.195789 ],[0.68111986 0.48707724 1.3681197 ],[0.20411442 0.14156964 1.1383477 ],[0.14275713 0.3673673  1.1487464 ],[0.17175695 0.19689223 1.2930241 ],[0.47537905 0.6183739  1.2834678 ],[0.38609302 0.7904775  1.2923982 ],[0.4665356 0.6400134 1.2668139],[0.2910308 0.6203636 1.2668977],[0.24950416 0.76764107 1.3862975 ],[0.28883785 0.67004275 1.2495769 ],[ 0.34029105 -0.04784343  1.2264545 ],[ 0.28163242 -0.04594889  1.2043446 ],[ 0.42561975 -0.04605061  1.1632984 ],[ 0.25942028 -0.04068288  1.1006539 ]
22,0,0,77.08990,OK,MOVING,0.38401,0.24893,1.22957,-0.57718,-0.14750,0.39569,0.55892,0.65632,0.55892,n/a sl::Mat not initialised,[ 0.29399967 -0.01636931  1.252232  ],[0.36974505 0.13081747 1.1797632 ],[0.54805773 0.1231344  1.1979256 ],[0.63801706 0.34005037 1.215255  ],[0.6731632 0.4779161 1.3913808],[0.19143233 0.13850054 1.1616007 ],[0.13027035 0.36421895 1.1890944 ],[0.16796914 0.16744342 1.2945491 ],[0.47089726 0.6110238  1.3032157 ],[0.42788833 0.7924133  1.3147712 ],[0.46759173 0.63605833 1.2755208 ],[0.28648326 0.6163963  1.2892141 ],[0.24794024 0.7732514  1.3830031 ],[0.28472918 0.6580317  1.2692717 ],[ 0.3297003 -0.0591915  1.2392471],[ 0.27075082 -0.05599475  1.2180824 ],[ 0.41407815 -0.05514404  1.1751945 ],[ 0.24705464 -0.04608643  1.1152277 ]
23,0,0,81.09897,OK,MOVING,0.37551,0.24247,1.26146,-0.53672,-0.16438,0.46080,0.55359,0.66169,0.55359,n/a sl::Mat not initialised,[ 0.29085764 -0.02320427  1.2837728 ],[0.36350903 0.1275602  1.2138616 ],[0.5423955  0.11981907 1.2288395 ],[0.62785405 0.33968127 1.246849  ],[0.66590565 0.4784174  1.423056  ],[0.1846226  0.13530141 1.1988838 ],[0.12179659 0.35821325 1.2471551 ],[0.16654116 0.14522192 1.3133153 ],[0.46704403 0.6065326  1.3332837 ],[0.46015862 0.78941184 1.3471675 ],[0.46789646 0.63229334 1.3039334 ],[0.282652  0.6132225 1.3221483],[0.25031748 0.7739885  1.4045725 ],[0.28091913 0.6461551  1.307942  ],[ 0.32646737 -0.06536511  1.2691739 ],[ 0.26705027 -0.06205726  1.2493873 ],[ 0.4093211  -0.05972707  1.2035149 ],[ 0.24097258 -0.05035487  1.1474527 ]
24,0,0,81.71886,OK,MOVING,0.36757,0.23595,1.29485,-0.50191,-0.18140,0.52559,0.54902,0.66665,0.54902,n/a sl::Mat not initialised,[ 0.28860438 -0.02510273  1.3218365 ],[0.3573633  0.12763423 1.2521713 ],[0.5366567  0.12138623 1.2646606 ],[0.616042  0.3444999 1.2814668],[0.65551853 0.4883715  1.4542512 ],[0.17807001 0.13388228 1.239682  ],[0.11353438 0.35185707 1.3081388 ],[0.16380544 0.13101062 1.3366264 ],[0.45886156 0.6067158  1.3632607 ],[0.47516456 0.7883719  1.37641   ],[0.4623093 0.6321099 1.3335519],[0.27462348 0.6130227  1.3542856 ],[0.24670124 0.77808595 1.4278524 ],[0.2730261 0.6438093 1.340122 ],[ 0.3245617  -0.06653196  1.3065375 ],[ 0.26473582 -0.06412011  1.2879057 ],[ 0.405987   -0.05969593  1.2394241 ],[ 0.23648039 -0.05286247  1.1866343 ]
